id,rid,report,report_by,date_reported
95,89,"<blockquote  class=""ipsBlockquote"" data-author=""Noidberg"" data-cid=""87110"" data-time=""1402025968""><div><p>And his wonderful sonic art:</p>
<p><img src=""http://th09.deviantart.net/fs70/PRE/f/2014/108/c/6/crisis_city_by_silokhawk-d7f1xhf.jpg"" alt=""crisis_city_by_silokhawk-d7f1xhf.jpg""></p>
<p>&nbsp;</p>
<p>And...</p>
<p><img src=""http://th05.deviantart.net/fs70/PRE/f/2013/154/4/0/jewtwo_by_silokhawk-d67qvvp.jpg"" alt=""jewtwo_by_silokhawk-d67qvvp.jpg""></p>
<p>&nbsp;</p>
<p>Topkek.</p></div></blockquote><p>&nbsp;</p>This post (beyond it being discourteous to the content creator (me), as the post is nothing more than directed harassment) contains very old (and shitty) art of mine; art that as well contains my digital signature. At the time of the original posting, the picture was not to be shared outside of the original upload site, and shouldn't be on this specific post.<br>I would appreciate if it could be removed.<br>Thanks in advance.",0,1431533699
96,90,"<blockquote  class=""ipsBlockquote"" data-author=""ÐÐ»ÐµÐºÑÐ°Ð½Ð´Ñ€ Ð¡Ð»Ð°Ð²Ñ€Ð¾Ñ"" data-cid=""113172"" data-time=""1431173275""><div><p></p><p  class=""bbc_center"" style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;""><span style=""font-family:verdana, geneva, sans-serif;""><span style=""font-size:36px;""><span style=""color:rgb(255,140,0);""><strong>Iron March Charter and Mission Statement</strong></span></span></span></p>
<p>&nbsp;</p>
<p style=""text-align:center;""><img src=""https://i.imgur.com/sZM6tuz.png"" alt=""sZM6tuz.png""><em>Official Iron March Flag</em></p>
<p>&nbsp;</p>
<p>[hr]</p>
<p>&nbsp;</p>
<p style=""text-align:center;""><span style=""font-family:'courier new', courier, monospace;""><span style=""font-size:18px;""><span style=""color:#ff8c00;""><strong>Iron March Mission Statement</strong></span></span></span></p>
<p>&nbsp;</p>
<p><span style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">Iron March is a global online fascist community that seeks to become the <strong>Forge of the 21st Century Fascist</strong> by establishing an online <strong>Fascist Space</strong> so as to foster and develop internet resources dedicated to the study, understanding and practice of the <em>Fascist Worldview</em> and <em>Lifestyle</em>; and a global <strong>Fascist Fraternity</strong> in the world for the purpose of creating a non-movement/party form of association between fascists that can in turn lead to the strengthening of existing or formation of new</span><span style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">&nbsp;movements that engage in our common struggle worldwide. </span></p>
<p>&nbsp;</p>
<p><span style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">Iron March itself is not a movement and never intends to become one, rather it is the platform for the creation of the global Fascist Fraternity and the central communications hub for its members online as well as the HQ for the online Fascist Space and the primary source for studying our worldview, thus acting as the <strong>Fascist Alma Mater</strong>.</span></p>
<p>&nbsp;</p>
<p><span style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">Furthermore, a distinction must be made that <strong>Iron March</strong> and <strong>Iron March <em>forum</em></strong><em> </em>(i.e.<em> IRONMARCH.ORG</em>) are not synonymous as the intent and ambitions outlined in this Mission Statement clearly show that Iron March has outgrown itself as just an internet forum, now encompassing an array of both online and real world activities and goals, making Iron March a living community while the Iron March forum acts as its online HQ.&nbsp;</span></p>
<p>&nbsp;</p>
<p><span style=""font-size:12px;"">To further explain our intentions each key term mentioned above is explained below:</span></p>
<ul><li><span style=""font-size:12px;""><strong>Forge<em>(-ing)</em> of the 21st Century Fascist</strong> - the most broad and&nbsp;succinct&nbsp;way of describing our Mission Statement that covers both our online and real world activities, implying that we seeks to create not just mere political and career/hobbyist fascists but rather people who share an inherently different perception of the world and thus live and breathe Fascism 24/7, making it not just a mere ideology but a Worldview and Way of Life or Lifestyle, that in the Modern World would appear as a form of counter-culture.</span><br>
&nbsp;</li>
<li><span style=""font-size:12px;font-family:tahoma, helvetica, arial, sans-serif;""><strong>Fascist Alma Mater</strong> - the role that the Iron March forum plays in educating people towards a more comprehensive understanding of the Fascist Struggle and Worldview, and a common way of referring to any Iron March projects dedicated to further research and education in those fields (<em>ex. Fascist Archive, Antimony Group</em>).</span><br>
&nbsp;</li>
<li><strong>Fascist Space</strong><span style=""font-size:12px;""> - common way of referring to all online Iron March projects and online projects/activities created by members of the IM community that in any way further our goals, including educational, creative,&nbsp;demonstrative&nbsp;outlets of the Fascist Lifestyle (<em>ex. NOOSE</em>).</span><br>
&nbsp;</li>
<li><strong>Fascist Fraternity</strong><span style=""font-size:12px;""> - Iron March community manifested in the real world as a means of fascist association that exists outside belonging to any particular movement or party, encouraging fascists to spend time together outside of movement activities or to the contrary bring together fascists with no existing affiliations to share in common interests or form some organization of their own. It is important to note that in the event of a movement's formation Iron March has no direct control over it and can merely offer advice as a community, in the hopes of nurturing the growth of a&nbsp;successful&nbsp;and dedicated fascist organization.</span></li>
</ul><p><span style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">Most of the planning behind the aforementioned goals and projects occurs on our online HQ - the Iron March forum. As such the Forum Charter in no small part defines the nature of our community and can be used not as only a guide for using the forum itself but also as a point of reference to the standards of our community at large.</span></p>
<p>&nbsp;</p>
<p>[hr]</p>
<p>&nbsp;</p>
<p style=""text-align:center;""><span style=""color:#ff8c00;""><span style=""font-family:'courier new', courier, monospace;""><span style=""font-size:18px;""><strong>Iron March Forum Charter</strong></span></span></span><br>
&nbsp;</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;""><strong>I.&nbsp;<span style=""color:rgb(255,140,0);"">Adminship</span></strong><br><br>
The Adminship are the Iron March Forum Admins, tasked with maintaining the forum, disciplinary actions, enforcing the values of our worldview and the planning of all IM projects to further our common goals.<br><br>
The official symbol of the Adminship and the Iron March forum is the&nbsp;<em>Machina Hierarchia</em>&nbsp;-&nbsp;<em>Hierarchy Machine</em>&nbsp;(cog and hands) - it symbolizes the organic unity that exists in a proper hierarchy, making it work as smoothly and efficiently as a machine; alternatively it symbolizes the fostering of an organic unity from what were initially mechanical means.<br><br><strong>II.&nbsp;<span style=""color:rgb(255,140,0);"">Black Corps</span></strong><br><br>
The Black Corps are the Iron March Forum Moderators&nbsp;- the most trusted and true who embody both the values that are at the foundation of this community and of the values of our worldview. The Black Corps are tasked with maintaining order and cleanliness on the forum, as well as seeking out and purging unwanted elements as outlined in segment <strong>III&nbsp;</strong>of this charter (<strong>Community</strong>).&nbsp;</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">&nbsp;</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">To become a member of the Black Corps one must be a long term member of the IM Forum in good standing who has also proven to be responsible and thus worthy of the title and the tasks that come with it.<br><br><strong>III.&nbsp;<span style=""color:rgb(255,140,0);"">Community</span></strong><br><br>
Iron March is not a movement, but we expect users to share our purpose â€“ to take an active interest in using the forum, and when contributing to do so as fascists in ultimate pursuit of knowledge, ideas, contacts, etcetera. Those who are not constructive and threaten this are in the wrong place and unwelcome. We recognize there is a widespread character issue in movement politics, and we start here to address some of those problems here. The following rules are to be observed by all members and handled quickly and diplomatically where possible.<br><br><strong>1.&nbsp;</strong>No â€˜Spergingâ€™. As in â€˜Aspergerâ€™s syndromeâ€™, an Autistic mental disorder characterized by extreme egocentricity and an inability to understand how to interact socially. This policy is to curtail and recognize the tendencies of users whose actions and motivations are outside our common goals, are deliberately of no benefit to anyone, and only serve to cause trouble. Regardless of whether it is motivated by narcissism, social alienation, cowardice, or stupidity we must control it, and it is the userâ€™s responsibility to observe these following principles which will serve as a guide to ensure there will be no problems for you while you are here.<br><br><strong>1.1 -&nbsp;</strong>Role-playing. The tendency to portray personal views in the third person with no clear relation to the real world constitutes a form of role-playing. Another form of role-playing is found in arrogance; insisting on special treatment or to be regarded as a separate tier, in contradiction to the fact it is usually marked by an absence of; personal effort, courage, commitment, consistency, positions that will attract negative response, interest in people, etc - by coincidence. If you are a fake you will be recognized and publicly called out.<br><br><strong>1.2 -&nbsp;</strong>Fashion Fascism. Fascism isn't a fetish â€“ if you regularly treat it as such your motivations will be questioned as ulterior. If you reflect your political â€˜identityâ€™ in things like science fiction or anything else found in Television, Video games, hobbies, sub-cultures etc, it tells us that you are unable to distinguish between the two.<br><br><strong>1.3 -&nbsp;</strong>Shitposting. Making shit posts; this happens when a post is devoid of content or context, eg randomly responding with a reaction image. If you have nothing else to contribute you have no right to be engaging in this.<br><br><strong>1.4 -&nbsp;</strong>Constructive debate. The goal of debate is the pursuit of truth therefore you should take care about what you are saying and care about opposing arguments and should assume it is the same for your opponent â€“ so where relevant you should be capable of providing sources to back up an opinion - this is an argument. Ignoring responses while continuing to argue shows you have no investment in the discussion and also, that you have nothing to offer or contribute.<br><br><strong>1.5 -&nbsp;</strong>Conduct. It is your responsibility to judge group relations and know what not to post and where things should be posted. When you can participate in a forum drama, promote yourself, become insolent towards members, etc, is something only you can judge.<br><br><strong>If these are not monitored by the user and kept in check it may result in messages of warning from moderators.</strong><br><br><strong>2.</strong>&nbsp;This is not&nbsp;<em>Stormfront</em>. Our community is based on discussion and debate constructive towards fascist goals<em>, it is not a hangout for White Nationalists and their unique subculture. Stormfront&nbsp;</em>and&nbsp;<em>VNN&nbsp;</em>forums already provide this in terms of its endless topics on conspiracy theories, chimpouts, Zionism, etcetera. Exclusively posting remarks and threads of that nature without proper context is a form of spamming<em>.</em></p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">&nbsp;</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">Likewise, we are not a <em>New Right</em> intellectual circle jerk and we do not tolerate aimless, abstract philosophizing and the typical self-important snobbish behavior that comes with it. Furthermore we recognize displays of such behavior to be a form of violation of points outlined in segment <strong>III </strong>of this charter (<strong>Community</strong>).</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">&nbsp;</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;""><strong>3.</strong>&nbsp;Tolerance. We accept people with strong viewpoints even if ultimately we seek everyone to join us in our comprehension of the world, whilst also understanding that this can be accomplished only so far via our internet forum platform. Those who take themselves too seriously yet refuse to debate become paranoid, patronizing, passive aggressive and can become the source of drama. Users of non straight-white-male-fascist backgrounds also need to be conscious of their differences and check their privilege at the door. If you have allowed yourself to become aggravated through your own fault we will not side with you and you may be held responsible.<br><br><strong>4.</strong>&nbsp;Sophian Language. You are expected to use this website with intelligence, knowing not what to write and to read between the lines. Nobody is likely to monitor the website or trawl through your messages, but by posting here you need to personally be prepared it might be read in a court, quoted on in a newspaper, or read to your weeping mother â€“ and hold yourself to account. Don't ask us to delete all your posts because you have ""changed your mind."", or even attempt to alter them yourself. Remember you public posts are cached by search engines or may be recorded by others.<br><br><strong>5.</strong>&nbsp;Untermenschen. Just being you can result in an immediate ban, and we will take immediate and permanent action if it is ever found out the following applies to you.<br><br><strong>5.1</strong>&nbsp;- We do not allow or entertain the mentally ill to the extent they cannot understand fascism, (for instance those who do genuinely suffer from Autism) and it is our responsibility to direct them away from this place because they should not be here.<br><br><strong>5.2</strong>&nbsp;- Expression of interest in Paedophilia (Including any similar inclinations towards the under-aged) will result immediate ban, and even the slightest hint will be treated seriously.<br><br><strong>5.3</strong>&nbsp;- Simply put, we reserve the right to ban you if you are any kind of faggot. If you feel the need to tell the world then you will bring the consequences on yourself just as hard. Belonging to the furry fandom is prohibited, partly because it also involves a breach of 1.1 and 1.2, but mostly because it is utterly degenerative (it deserves note here because it will apply even if explicitly sexual grounds cannot be ascertained).<br><br>
Failure to comply may result in&nbsp;<em>internment</em>, when a member's activity on the forum is restricted to the Showers. These members will be marked as&nbsp;<strong>Prisoners&nbsp;</strong>and they will inevitably be <strong>Gassed</strong>.<br><br><strong>IV.&nbsp;<span style=""color:rgb(255,140,0);"">Forum Activities</span></strong><br><br>
Iron March Forum provides it's users with a number of activities that help us develop as a forum, an information center and a community for fellow fascists as well as establish new projects outside the Forum both online and in real life. Any user can officially sign up for any such activity and become an active contributor. Simply follow the rules of each such activity and you will find yourself occupied with interesting projects that will help you develop your skills or further your knowledge.<br><br><strong>V.&nbsp;<span style=""color:rgb(255,140,0);"">Discipline</span></strong><br><br>
We expect every user to follow the rules set forth by the Adminship.<br><br><strong>1.</strong>&nbsp;Our community is interested in active members, not lurker and defunct profiles. All accounts that have&nbsp;<em>zero</em>&nbsp;posts for a week after registry on the forum will be deleted. Once a year (sometime in January) the forum undergoes cleaning of defunct profiles, meaning that any years old profiles with less than 10 posts are permanently deleted. The more the forum membership grows with active users the higher the number of posts required to prevent deletion will become.&nbsp;<br><br><strong>2.</strong>&nbsp;Before creating a new topic make sure that a similar one doesn't already exist and be sure to post topics in the appropriate sections of the Iron March forum. Use the search bar in the top right corner if &nbsp;you are not sure where to look.<br><br><strong>3.</strong>&nbsp;Do not derail topics, do not flame, do not spam (outside&nbsp;<a  class=""bbc_url"" href=""http://ironmarch.org/index.php?/forum/78-cancer/"" title="""">Cancer</a>&nbsp;and the&nbsp;<a  class=""bbc_url"" href=""http://ironmarch.org/index.php?/forum/13-wastelands/"" title="""">Wastelands</a>).<br><br><em>*It is the userâ€™s responsibility not to be trolled.</em><br><br><strong>4.</strong>&nbsp;Follow the respective rules of all forum activities and projects as they are explained in the sections dedicated to those activities.<br><br><strong>5.</strong>&nbsp;Moderators and Admins may dispense punishment at their discretion and can give formal warnings to users who behave in an unacceptable manner (unnecessary aggression, blatant and systematic disregard of the forum rules and etc) with 3 and more warnings being grounds for temporary suspension or immediate gassing, or in some cases said penalties can happen with no warning at all.&nbsp;<br><br><strong>VI.&nbsp;<span style=""color:rgb(255,140,0);"">Uniform</span></strong><br><br><strong>1.</strong>&nbsp;Forum avatars are restricted to a size of 150x200 pixels, and 25 kb.</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">&nbsp;</p>
<p style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;""><strong>2.</strong>&nbsp;Forum signatures are restricted to one image of 800x140 pixels and 5 lines of text.<br><br><strong>3.</strong>&nbsp;Admins can be recognized by the symbol of the Iron March Adminship below their title and avatar -&nbsp;<em>Machina Hierarchia</em>&nbsp;and&nbsp;<em>Admins Wreath</em>.<br><br><strong>4.</strong>&nbsp;Members of the Black Corps can be recognized by the symbol of the Black Corps below their title and avatar -&nbsp;<em>the Sword and Shield</em>, combined with the&nbsp;<em>Machina Hierarchia</em>. Black Corps Captain is recognized by the same symbol with wings.<br><br><strong>5.</strong>&nbsp;Users are discouraged from taking the names of historic persons, eg â€˜Benito Mussoliniâ€™, and may be asked to change their username.</p>
<p  class=""bbc_center"" style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;""><br><strong>Follow these rules diligently, least you face the wrath of the Adminship.</strong></p></div></blockquote><p>&nbsp;</p>sup bitch, back from the dead m8; it's ur favorite faggot.<br>You know I got to say, for someone who calls people out for being cowards; I find it very ironic that you hide my visibility of forums on that account I made just to send that complaint. Not only that, but you disable my ability to reply back to you on that account. <br>You seem scared. What are you hiding from?<br>I take it you're some 30-40 year old autistic neck beard, working some shitty part time job, and on your off-time; you run a website where you make fun of kids barely 1 year out of highschool. Very admirable I must say. You must be proud, gettin' all dat pussy. What's your pick-up line? ""Hey so, I make fun of kids half my age on internet forums""<br>Anyways I should be thanking you really. I came here to get some stuff off your site, but ever since then- I've been getting tons of people coming from this website to my Youtube channel. Past couple of days, my adsense revenue has gone WAYYYY up. You've made me a good 100$ just by sharing my message on the forum.<br>I also find that humorous. You post my message and your response as if you're saying: ""HEY GUYS. ARN'T I SO COOL? I JUST MADE FUN OF THIS KID HALF MY AGE ON THE INTERNET"" That seriously has to be the most autistic-ass thing I've heard in my fucking life; and that's coming from a guy who made a damn relationship animation. I have to hand it to you though, you've truly outdone me.<br>You know what my biggest mistake was? Taking that video down. In under a week, it got 30,000 views and made me a good 500$. I really do regret it; but hey- with my name and those pictures becoming more relevant and active as of late... I might make a few more hundred just off of people finding about me here and being redirected to my channel. Here I was concerned about it, but you've provided something very opportune to me here!<br>Keep talking about me on your site m8! Loving the attention!<br>Also feel free to spam me; I know your autistic mind can't help it. I won't be visiting this pathetic site or the fake email linked with this account anytime soon. So really, go nuts! ;)<br>P.S. While you're at it, make sure to continue making references to a video that has been off the internet for over a year now. Seems like you're too much of a bitch to think of anything else.<br>luv u babe!<br>tootles! ~~~",0,1432177523
97,91,"<blockquote  class=""ipsBlockquote"" data-author=""Social Nationalist"" data-cid=""122201"" data-time=""1439858925""><div><p>doublÃ© postÃ©</p></div></blockquote><p>&nbsp;</p>Forgot about double posting, pls delete.",7496,1439865546
98,92,"<blockquote  class=""ipsBlockquote"" data-author=""NotAManButMaybeASnake"" data-cid=""123532"" data-time=""1441162635""><div><p>what shocking and totally fresh revelation will vikaryan bring this god forsaken forum next? stay tuned for the next episode of ""too dumb for blogspot &amp; too dated for wordpress""</p></div></blockquote><p>&nbsp;</p>unnecessary.",9601,1441165867
99,93,"<blockquote  class=""ipsBlockquote"" data-author=""NotAManButMaybeASnake"" data-cid=""123528"" data-time=""1441161849""><div><p>niggers are white and redpilled, shlomo</p></div></blockquote><p>&nbsp;</p>comments.",9601,1441166178
100,94,"<blockquote  class=""ipsBlockquote"" data-author=""Oakleaf"" data-cid=""131690"" data-time=""1446228146""><div><p></p><blockquote  class=""ipsBlockquote"" data-author=""ÐÐ¸ÐºÐ¾Ð»Ð°Ñ˜ÐµÐ²Ð¸Ñ›"" data-cid=""131687"" data-time=""1446226656"">
<div>
<p>Serbian history from Ottoman occupation until present day (when it was published-1990). I skimmed through some pages and it's very pro-Serb, I guess because it was before we committed the third Holocaust</p>
</div>
</blockquote>
<p>&nbsp;</p>
<p>What was the second ?</p></div></blockquote><p>&nbsp;</p>ANTI SEMITE!!1",1558,1446228647
101,95,"<blockquote  class=""ipsBlockquote"" data-author=""ÐÐ»ÐµÐºÑÐ°Ð½Ð´Ñ€ Ð¡Ð»Ð°Ð²Ñ€Ð¾Ñ"" data-cid=""131695"" data-time=""1446228839""><div><p>Got an actual mod-system report on antisemitism in dis thread. Watcha bad goys doin?&nbsp; :merchant:</p></div></blockquote><p>&nbsp;</p>SEXISM! 6 MILLION!",1558,1446230708
102,96,"<blockquote  class=""ipsBlockquote"" data-author=""Blackshirt 13"" data-cid=""133461"" data-time=""1447371403""><div><p>&nbsp;I told you I only resorted to disrespectful language when and only when It was used against me first.</p></div></blockquote><p>&nbsp;</p>Autism.",1558,1447375238
103,97,"<blockquote  class=""ipsBlockquote"" data-author=""Josef Kurst"" data-cid=""134536"" data-time=""1448036842""><div><p>Whats this place about?</p>
<p>Seems like a load of spergin autists, no topic either.</p>
<p>How do I delete this post, I want to get rid of it.</p></div></blockquote><p>&nbsp;</p>Delete pls.",9707,1448037156
104,98,"<blockquote  class=""ipsBlockquote"" data-author=""AlbaNuadh"" data-cid=""136259"" data-time=""1449179714""><div><p></p><blockquote  class=""ipsBlockquote"" data-author=""Oakleaf"" data-cid=""136253"" data-time=""1449178749"">
<div>
<p>I don't know what its like in Europe but the U.S is 100% fucked in the child raising department.</p>
</div>
</blockquote>
<p>It's the same all over the west, your situation and worries are hardly unique. Just talk to some traditionalist women ffs, the majority of both sexes are garbage and they want a good man to fall in love as much as men want a good woman to do the same with. Child-rearing is not that hard, if you both have strong beliefs and can make it clear what's going on in this world to your children, and keep them away from the most degenerate sources of filth (urban areas, social media, public education etc), they'll turn out fine.</p>
<p>&nbsp;</p>
<p>It's not that hard to find someone good if you actually bother to look, I've been chatting up an older serb gal in the states and we're starting to hit things off. If a sperg like me can do it, you can to.</p></div></blockquote><p>&nbsp;</p>Trying to defile Holly Serbian Blood and thus make the descendants lose the wisdom of Falcon.",9353,1449179881
105,99,"[quote name='Alto Malandro']FUCK OFF FUCKOFF[/quote]

He is going full autist. ",9581,1449647859
106,100,"<blockquote  class=""ipsBlockquote"" data-author=""Riftbolt"" data-cid=""139910"" data-time=""1451916769""><div><p>edited out due to request</p></div></blockquote><p>&nbsp;</p>needs to be deleted as it accidentally led to info on where the atomwaffen lives.",9549,1451918565
107,101,"<blockquote  class=""ipsBlockquote"" data-author=""Zimbru"" data-cid=""142974"" data-time=""1454069887""><div><p></p><blockquote  class=""ipsBlockquote"" data-author=""Neizbezhnost"" data-cid=""142958"" data-time=""1454052653"">
<div>
<p>He actually used the term <em>phony religion.</em></p>
</div>
</blockquote>
<p>&nbsp;</p>
<p>and this&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<blockquote  class=""ipsBlockquote"" data-author=""Imperator"" data-cid=""142836"" data-time=""1453982089"">
<div>
<p>As for Islam specifically, I'll admit I like its prohibition on alcohol(!)</p>
</div>
</blockquote>
<p>&nbsp;</p>
<p>and this</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<blockquote  class=""ipsBlockquote"" data-author=""Imperator"" data-cid=""142836"" data-time=""1453982089"">
<div>
<p>&nbsp;Even if many arabs settle in Europe their kids or grandkids will probably become as atheistic as other Europeans. :)</p>
</div>
</blockquote>
<p>&nbsp;</p>
<p>if you're such a cocksucking Jew ""puritan"" ""it's le 2016 guys!"" faggot why are you still here? sounds like you're not actually trying to believe Fascism, but rather fit in.</p></div></blockquote><p>&nbsp;</p>Zimbru is an abusive demagogue. I'm reluctant to start a flame war with him but isn't this against the rules?",9852,1454070152
108,102,"<blockquote  class=""ipsBlockquote"" data-author=""Vozhd"" data-cid=""143366"" data-time=""1454366271""><div><p><strong>Organisation of Yugoslav Nationalists </strong>(ORYUNA) was formed on the 25th of January 1921. It was a political organisation in the Kingdom of Yugoslavia supported corporatism and Yugoslav integral nationalism. It was anti-communist, anti-liberal, anti-democratic, anti-Jewish. It was mostly active in Dalmatia and Slovenia where most of its members lived. &nbsp;They attacked communists, Jews, Serbian nationalists and Croat nationalists so pretty much it was Yugoslavia or nothing for them. They were disbanded in 1929 when King Alexander I took power and started a dictatorship.<br>
&nbsp;</p>
<p>This text is from Wikipedia:</p>
<p>ORJUNA was founded in March 1921 in Split by the royal administrator of Croatia and funded by the provincial government to secure Yugoslavia from threats posed by communists, separatists, and other persons deemed threatening to the state.[6] The first president was Marko Nani and the first secretary Edo Bulat. The first actions organized by JNNO were demonstrations against communists because of the communist assassination of the Minister of Interior Milorad DraÅ¡koviÄ‡. JNNO organized demonstrations in Split, Zagreb and Osijek. In Zagreb, JNNO members even demolished offices of newspapers that blamed the government for assassination.</p>
<p>
It was particularly influential in areas of Slovenia and Croatia that were of interest to Italian and Austrian irredentism as well as in areas where ethnic minorities where viewed to be powerful or separatist, such as Hungarians in Vojvodina. The membership of the movement was ethnically mixed of the various Yugoslav nationalities. However most of its members were Croats from Dalmatia. It ran its own newspapers, had an academic club, a labour organization, a high school students wing ""Young Yugoslavia"", and a paramilitary organization, the Action Section.<br><br>
After 1922 people of all age groups started to join the organization, which changed its name in May 1922 to ORJUNA. ORJUNA's main political goal was maintaining a unitary Yugoslav state. Its members clashed with Austrian and Italian border patrols. ORJUNA never participated directly in elections but its supporters voted for Yugoslav oriented parties. In 1929, when the King proclaimed his personal dictatorship and disbanded the parliament, ORJUNA supported the King's action, but because the King outlawed all political parties and organizations ORJUNA ceased to exist.<br><br>
By 1925, ORJUNA's Action Groups accounted for 10,000 people.</p>
<p>&nbsp;</p>
<p>[hr]</p>
<p><strong>Yugoslav Action&nbsp;</strong>was a fascist organisation from the Kingdom of Yugoslavia. Not many things are known about this organisation as sources and books are scarce. I heard somewhere that their symbol was a swastika and that the wore blue armbands with a swastika on them. The whole organisation was integrated into ZBOR in 1935 when ZBOR was founded. Until the end of WWII and the dissolution of ZBOR in Yugoslavia members of the Yugoslav Action were known to be a hardline wing of ZBOR, a more ""extreme"" wing.<br>
The organisation supported King Alexander's dictatorship and openly supported corporatism. Many people claimed the organisation to be fascist but YA members denied it.<br><br>
[hr]<br>
&nbsp;</p></div></blockquote><p>&nbsp;</p>Newguy posted a topic that already has a thread.",9288,1454366676
109,103,"<blockquote  class=""ipsBlockquote"" data-author=""Another American"" data-cid=""146247"" data-time=""1456704781""><div><p>Double posted oops.</p></div></blockquote><p>&nbsp;</p>Accidentally double posted.",6269,1456704841
